# == pyFAI calibration ==
# Distance Sample to Detector: 0.11507480176033233 m
# PONI: 5.477e-03, 4.716e-03 m
# Rotations: 0.004686 0.005536 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 115.078 mm
# Center: x=55.690, y=81.516 pix
# Tilt: 0.416 deg  TiltPlanRot: 130.247 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.833e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
1.131209591E+00  5.746834564E+01
1.145950384E+00  7.076474762E+01
1.160691176E+00  8.448812103E+01
1.175431968E+00  9.594374084E+01
1.190172760E+00  1.111907730E+02
1.204913552E+00  1.218472977E+02
1.219654344E+00  1.303264618E+02
1.234395136E+00  1.343535309E+02
1.249135928E+00  1.390700073E+02
1.263876720E+00  1.491503448E+02
1.278617513E+00  1.567580872E+02
1.293358305E+00  1.625083008E+02
1.308099097E+00  1.636379700E+02
1.322839889E+00  1.662592163E+02
1.337580681E+00  1.701467743E+02
1.352321473E+00  1.741823730E+02
1.367062265E+00  1.788329926E+02
1.381803057E+00  1.817782898E+02
1.396543850E+00  1.865011292E+02
1.411284642E+00  1.908043976E+02
1.426025434E+00  1.928778076E+02
1.440766226E+00  1.964022827E+02
1.455507018E+00  1.987435455E+02
1.470247810E+00  2.003219910E+02
1.484988602E+00  2.038078156E+02
1.499729394E+00  2.036267395E+02
1.514470186E+00  2.057939301E+02
1.529210979E+00  2.074178314E+02
1.543951771E+00  2.089793701E+02
1.558692563E+00  2.120455322E+02
1.573433355E+00  2.132700958E+02
1.588174147E+00  2.161870117E+02
1.602914939E+00  2.166409302E+02
1.617655731E+00  2.179468384E+02
1.632396523E+00  2.200171967E+02
1.647137315E+00  2.237993622E+02
1.661878108E+00  2.269023590E+02
1.676618900E+00  2.258745575E+02
1.691359692E+00  2.263042450E+02
1.706100484E+00  2.268381042E+02
1.720841276E+00  2.294310303E+02
1.735582068E+00  2.313120575E+02
1.750322860E+00  2.320952606E+02
1.765063652E+00  2.310644531E+02
1.779804444E+00  2.308308716E+02
1.794545237E+00  2.303182068E+02
1.809286029E+00  2.321594391E+02
1.824026821E+00  2.343252563E+02
1.838767613E+00  2.358603058E+02
1.853508405E+00  2.373374023E+02
1.868249197E+00  2.370124512E+02
1.882989989E+00  2.379883118E+02
1.897730781E+00  2.378148193E+02
1.912471573E+00  2.387513885E+02
1.927212366E+00  2.409739227E+02
1.941953158E+00  2.420610504E+02
1.956693950E+00  2.440809326E+02
1.971434742E+00  2.456170044E+02
1.986175534E+00  2.479769287E+02
2.000916326E+00  2.503401489E+02
2.015657118E+00  2.511103363E+02
2.030397910E+00  2.528591766E+02
2.045138702E+00  2.540406952E+02
2.059879495E+00  2.562931824E+02
2.074620287E+00  2.573839722E+02
2.089361079E+00  2.580384827E+02
2.104101871E+00  2.595992126E+02
2.118842663E+00  2.612832947E+02
2.133583455E+00  2.632174683E+02
2.148324247E+00  2.643602905E+02
2.163065039E+00  2.647705994E+02
2.177805831E+00  2.643086853E+02
2.192546624E+00  2.639091187E+02
2.207287416E+00  2.641145020E+02
2.222028208E+00  2.668394165E+02
2.236769000E+00  2.675741272E+02
2.251509792E+00  2.683352966E+02
2.266250584E+00  2.687486267E+02
2.280991376E+00  2.695069275E+02
2.295732168E+00  2.704228821E+02
2.310472960E+00  2.700755005E+02
2.325213753E+00  2.711657410E+02
2.339954545E+00  2.718956299E+02
2.354695337E+00  2.733713989E+02
2.369436129E+00  2.738858948E+02
2.384176921E+00  2.742483826E+02
2.398917713E+00  2.743558960E+02
2.413658505E+00  2.746357117E+02
2.428399297E+00  2.746696167E+02
2.443140089E+00  2.741395874E+02
2.457880882E+00  2.739230347E+02
2.472621674E+00  2.744057617E+02
2.487362466E+00  2.752414856E+02
2.502103258E+00  2.756836243E+02
2.516844050E+00  2.760361328E+02
2.531584842E+00  2.763048096E+02
2.546325634E+00  2.756863098E+02
2.561066426E+00  2.753804932E+02
2.575807219E+00  2.748795776E+02
2.590548011E+00  2.743437195E+02
2.605288803E+00  2.738449707E+02
2.620029595E+00  2.745495605E+02
2.634770387E+00  2.748549500E+02
2.649511179E+00  2.752565613E+02
2.664251971E+00  2.743283386E+02
2.678992763E+00  2.744338074E+02
2.693733555E+00  2.745771484E+02
2.708474348E+00  2.734842529E+02
2.723215140E+00  2.720953369E+02
2.737955932E+00  2.718402100E+02
2.752696724E+00  2.721105347E+02
2.767437516E+00  2.728218079E+02
2.782178308E+00  2.718153992E+02
2.796919100E+00  2.712470093E+02
2.811659892E+00  2.708156128E+02
2.826400684E+00  2.705331116E+02
2.841141477E+00  2.701510315E+02
2.855882269E+00  2.706605835E+02
2.870623061E+00  2.704423523E+02
2.885363853E+00  2.714551392E+02
2.900104645E+00  2.715284424E+02
2.914845437E+00  2.724171448E+02
2.929586229E+00  2.714512939E+02
2.944327021E+00  2.707006836E+02
2.959067813E+00  2.703376770E+02
2.973808606E+00  2.701311340E+02
2.988549398E+00  2.697991028E+02
3.003290190E+00  2.688432312E+02
3.018030982E+00  2.678965149E+02
3.032771774E+00  2.671461792E+02
3.047512566E+00  2.675851440E+02
3.062253358E+00  2.680698547E+02
3.076994150E+00  2.686609192E+02
3.091734942E+00  2.680484009E+02
3.106475735E+00  2.672825623E+02
3.121216527E+00  2.671744995E+02
3.135957319E+00  2.671699219E+02
3.150698111E+00  2.667599182E+02
3.165438903E+00  2.658038940E+02
3.180179695E+00  2.658555298E+02
3.194920487E+00  2.673215332E+02
3.209661279E+00  2.679061279E+02
3.224402071E+00  2.680474548E+02
3.239142864E+00  2.664710388E+02
3.253883656E+00  2.653697510E+02
3.268624448E+00  2.653973083E+02
3.283365240E+00  2.659571228E+02
3.298106032E+00  2.658004150E+02
3.312846824E+00  2.654501648E+02
3.327587616E+00  2.638356934E+02
3.342328408E+00  2.639759827E+02
3.357069200E+00  2.646428223E+02
3.371809993E+00  2.645205078E+02
3.386550785E+00  2.642792969E+02
3.401291577E+00  2.646182251E+02
3.416032369E+00  2.644166260E+02
3.430773161E+00  2.640602417E+02
3.445513953E+00  2.628188477E+02
3.460254745E+00  2.618477478E+02
3.474995537E+00  2.621593628E+02
3.489736329E+00  2.629347534E+02
3.504477122E+00  2.635017395E+02
3.519217914E+00  2.622779236E+02
3.533958706E+00  2.609619446E+02
3.548699498E+00  2.606486816E+02
3.563440290E+00  2.610034180E+02
3.578181082E+00  2.617711792E+02
3.592921874E+00  2.613198853E+02
3.607662666E+00  2.609313354E+02
3.622403458E+00  2.609121399E+02
3.637144251E+00  2.611185913E+02
3.651885043E+00  2.596632996E+02
3.666625835E+00  2.577875671E+02
3.681366627E+00  2.556380768E+02
3.696107419E+00  2.551945801E+02
3.710848211E+00  2.546206818E+02
3.725589003E+00  2.551174316E+02
3.740329795E+00  2.562523193E+02
3.755070587E+00  2.577724915E+02
3.769811380E+00  2.575394287E+02
3.784552172E+00  2.578191528E+02
3.799292964E+00  2.576176147E+02
3.814033756E+00  2.601935425E+02
3.828774548E+00  2.623339233E+02
3.843515340E+00  2.645075989E+02
3.858256132E+00  2.683851929E+02
3.872996924E+00  2.715347900E+02
3.887737717E+00  2.727492676E+02
3.902478509E+00  2.736363220E+02
3.917219301E+00  2.730543213E+02
3.931960093E+00  2.719234924E+02
3.946700885E+00  2.697406311E+02
3.961441677E+00  2.677761536E+02
3.976182469E+00  2.658507080E+02
3.990923261E+00  2.652150574E+02
4.005664053E+00  2.641905518E+02
4.020404846E+00  2.612389221E+02
4.035145638E+00  2.592271423E+02
4.049886430E+00  2.567305298E+02
4.064627222E+00  2.561300049E+02
4.079368014E+00  2.560119934E+02
4.094108806E+00  2.549496918E+02
4.108849598E+00  2.545521088E+02
4.123590390E+00  2.531240387E+02
4.138331182E+00  2.521896057E+02
4.153071975E+00  2.512154999E+02
4.167812767E+00  2.504392090E+02
4.182553559E+00  2.497118073E+02
4.197294351E+00  2.493375854E+02
4.212035143E+00  2.486091156E+02
4.226775935E+00  2.479049988E+02
4.241516727E+00  2.465864868E+02
4.256257519E+00  2.466389008E+02
4.270998311E+00  2.469268494E+02
4.285739104E+00  2.472711945E+02
4.300479896E+00  2.471468201E+02
4.315220688E+00  2.457727509E+02
4.329961480E+00  2.459680328E+02
4.344702272E+00  2.462215118E+02
4.359443064E+00  2.459358978E+02
4.374183856E+00  2.452891846E+02
4.388924648E+00  2.445149689E+02
4.403665440E+00  2.441681976E+02
4.418406233E+00  2.428358765E+02
4.433147025E+00  2.421459808E+02
4.447887817E+00  2.417797699E+02
4.462628609E+00  2.418946686E+02
4.477369401E+00  2.414245605E+02
4.492110193E+00  2.402182007E+02
4.506850985E+00  2.392022705E+02
4.521591777E+00  2.388888550E+02
4.536332569E+00  2.389394073E+02
4.551073362E+00  2.384162292E+02
4.565814154E+00  2.390139160E+02
4.580554946E+00  2.384720764E+02
