# 'raman shift'	Int_AP
46.756	6129
47.468	6122
48.18	6131
48.892	6160
49.604	6175
50.316	6165
51.028	6137
51.74	6112
52.452	6160
53.164	6216
53.875	6185
54.587	6196
55.298	6249
56.01	6327
56.721	6534
57.432	6650
58.143	6867
58.854	7006
59.565	7261
60.276	7435
60.987	7449
61.698	7707
62.408	7712
63.119	7933
63.829	8163
64.54	8265
65.25	8500
65.96	8557
66.671	8744
67.381	8814
68.091	9036
68.801	8940
69.51	9027
70.22	9057
70.93	9243
71.64	9208
72.349	9269
73.059	9318
73.768	9312
74.477	9287
75.186	9339
75.896	9451
76.605	9466
77.314	9428
78.023	9299
78.731	9424
79.44	9420
80.149	9405
80.857	9454
81.566	9397
82.274	9445
82.983	9661
83.691	9708
84.399	9597
85.107	9649
85.815	9581
86.523	9702
87.231	9736
87.939	9644
88.647	9691
89.354	9711
90.062	9960
90.769	9990
91.477	9913
92.184	10098
92.891	10336
93.598	10069
94.306	10220
95.013	10345
95.719	10345
96.426	10190
97.133	10497
97.84	10565
98.546	10745
99.253	10674
99.959	10869
100.666	10863
101.372	10603
102.078	10583
102.784	10710
103.49	10793
104.196	10695
104.902	10631
105.608	10903
106.314	10776
107.02	11028
107.725	11127
108.431	10987
109.136	11019
109.841	11009
110.547	11257
111.252	11312
111.957	11424
112.662	11437
113.367	11831
114.072	12164
114.777	12333
115.481	12765
116.186	13034
116.891	13558
117.595	13913
118.299	14456
119.004	15137
119.708	15737
120.412	16843
121.116	17852
121.82	19138
122.524	20469
123.228	21670
123.932	23644
124.636	25514
125.339	26971
126.043	27844
126.746	29286
127.45	29469
128.153	28656
128.856	27628
129.559	26317
130.262	23947
130.965	21921
131.668	20000
132.371	18220
133.074	16721
133.776	15612
134.479	14805
135.181	14103
135.884	13207
136.586	12635
137.289	12269
137.991	11917
138.693	11674
139.395	11184
140.097	11180
140.799	10852
141.501	10551
142.202	10410
142.904	10498
143.606	10266
144.307	10064
145.008	10323
145.71	10206
146.411	10106
147.112	10181
147.813	10361
148.514	10594
149.215	10426
149.916	10516
150.617	10525
151.318	10720
152.018	10409
152.719	10500
153.419	10511
154.12	10372
154.82	10272
155.52	10395
156.22	10367
156.921	10284
157.621	10178
158.321	10336
159.02	10389
159.72	10459
160.42	10350
161.119	10535
161.819	10358
162.518	10444
163.218	10499
163.917	10475
164.616	10539
165.316	10424
166.015	10625
166.714	10883
167.412	10885
168.111	10910
168.81	11098
169.509	11569
170.207	11914
170.906	12187
171.604	12733
172.303	13303
173.001	13868
173.699	14368
174.397	15043
175.095	14940
175.793	14467
176.491	13618
177.189	13196
177.887	12516
178.584	11674
179.282	11253
179.98	11097
180.677	10666
181.374	10415
182.072	10409
182.769	10230
183.466	10191
184.163	10046
184.86	10219
185.557	10204
186.254	10094
186.95	9965
187.647	10095
188.344	9976
189.04	9692
189.737	9768
190.433	9849
191.129	9727
191.825	9693
192.521	9756
193.217	9829
193.913	9732
194.609	9727
195.305	9697
196.001	9814
196.696	9742
197.392	9894
198.087	9920
198.783	9784
199.478	9755
200.173	9814
200.869	9726
201.564	9847
202.259	10004
202.954	9854
203.649	9963
204.343	9846
205.038	9931
205.733	10068
206.427	10073
207.122	9949
207.816	9904
208.51	10205
209.205	10285
209.899	10164
210.593	10170
211.287	10254
211.981	10423
212.675	10423
213.369	10336
214.062	10270
214.756	10374
215.449	10155
216.143	10479
216.836	10454
217.53	10429
218.223	10365
218.916	10490
219.609	10390
220.302	10541
220.995	10519
221.688	10506
222.381	10478
223.073	10627
223.766	10515
224.458	10743
225.151	10772
225.843	10620
226.536	10874
227.228	10741
227.92	10800
228.612	10915
229.304	11007
229.996	10953
230.688	11350
231.38	11608
232.071	12098
232.763	12369
233.454	12620
234.146	12494
234.837	12408
235.529	11986
236.22	11803
236.911	11654
237.602	11325
238.293	11489
238.984	11291
239.675	11124
240.366	11058
241.056	10987
241.747	10927
242.437	10743
243.128	10691
243.818	10730
244.508	10565
245.199	10630
245.889	10583
246.579	10613
247.269	10689
247.959	10711
248.649	10683
249.338	10776
250.028	10841
250.718	10674
251.407	10764
252.097	10808
252.786	10784
253.475	10584
254.165	10679
254.854	10627
255.543	10542
256.232	10550
256.921	10339
257.61	10400
258.298	10401
258.987	10459
259.676	10502
260.364	10333
261.053	10401
261.741	10200
262.429	10453
263.117	10272
263.806	10147
264.494	10257
265.182	10189
265.87	10145
266.557	10102
267.245	10270
267.933	10235
268.62	10057
269.308	10069
269.995	10077
270.683	10089
271.37	9991
272.057	10011
272.745	10156
273.432	10010
274.119	9792
274.805	9933
275.492	10086
276.179	10010
276.866	9739
277.552	9947
278.239	9888
278.925	9610
279.612	9588
280.298	9550
280.984	9577
281.67	9628
282.357	9685
283.043	9514
283.728	9575
284.414	9360
285.1	9300
285.786	9375
286.471	9410
287.157	9397
287.842	9262
288.528	9332
289.213	9348
289.898	9021
290.583	9230
291.269	9063
291.954	9098
292.638	9074
293.323	9009
294.008	9001
294.693	9033
295.377	9015
296.062	8986
296.746	9025
297.431	8914
298.115	8755
298.799	8698
299.483	8783
300.168	8715
300.852	8674
301.536	8732
302.219	8720
302.903	8669
303.587	8662
304.27	8678
304.954	8470
305.638	8520
306.321	8504
307.004	8422
307.687	8573
308.371	8273
309.054	8439
309.737	8438
310.42	8430
311.103	8397
311.785	8285
312.468	8349
313.151	8377
313.833	8329
314.516	8193
315.198	8344
315.88	8372
316.563	8339
317.245	8264
317.927	8379
318.609	8198
319.291	8132
319.973	8138
320.655	8115
321.336	8098
322.018	8216
322.7	8185
323.381	8162
324.063	8178
324.744	8143
325.425	8028
326.106	8030
326.787	8134
327.468	7844
328.149	8096
328.83	8157
329.511	8034
330.192	7995
330.873	8074
331.553	8084
332.234	8000
332.914	7922
333.594	7925
334.275	7945
334.955	7912
335.635	8039
336.315	7947
336.995	7959
337.675	7992
338.355	7941
339.034	7984
339.714	7945
340.394	8001
341.073	7938
341.753	7897
342.432	7930
343.111	7941
343.791	7924
344.47	7937
345.149	7862
345.828	7911
346.507	7886
347.186	7867
347.864	7826
348.543	7760
349.222	7862
349.9	7977
350.579	7810
351.257	7811
351.935	7830
352.613	7840
353.292	7894
353.97	7746
354.648	7706
355.326	7801
356.004	7914
356.681	7820
357.359	7735
358.037	7739
358.714	7842
359.392	7820
360.069	7845
360.746	7871
361.424	7720
362.101	7728
362.778	7760
363.455	7909
364.132	7902
364.809	7814
365.486	7939
366.162	7869
366.839	7807
367.515	7853
368.192	7884
368.868	7768
369.545	7808
370.221	7848
370.897	7902
371.573	7941
372.249	7877
372.925	7887
373.601	7979
374.277	7849
374.953	7903
375.628	7845
376.304	7814
376.979	7802
377.655	7913
378.33	7902
379.006	7939
379.681	7850
380.356	7873
381.031	7826
381.706	7960
382.381	7924
383.056	7907
383.73	7781
384.405	7889
385.08	7880
385.754	7746
386.429	7858
387.103	7848
387.777	7906
388.452	7838
389.126	7875
389.8	7896
390.474	7775
391.148	7791
391.822	7920
392.495	7850
393.169	7941
393.843	7900
394.516	7806
395.19	7978
395.863	7836
396.537	7855
397.21	7861
397.883	7983
398.556	7801
399.229	7727
399.902	7840
400.575	7949
401.248	7814
401.921	7779
402.593	7790
403.266	7829
403.938	7855
404.611	7772
405.283	7805
405.955	7859
406.628	7763
407.3	7754
407.972	7816
408.644	7800
409.316	7787
409.987	7677
410.659	7827
411.331	7912
412.002	7801
412.674	7792
413.345	7866
414.017	7739
414.688	7789
415.359	7768
416.031	7802
416.702	7808
417.373	7703
418.044	7729
418.714	7771
419.385	7743
420.056	7737
420.726	7704
421.397	7774
422.068	7602
422.738	7721
423.408	7770
424.079	7675
424.749	7660
425.419	7688
426.089	7633
426.759	7727
427.429	7700
428.099	7670
428.768	7699
429.438	7642
430.107	7715
430.777	7607
431.446	7668
432.116	7656
432.785	7663
433.454	7670
434.123	7722
434.792	7567
435.461	7717
436.13	7630
436.799	7734
437.468	7623
438.137	7682
438.805	7700
439.474	7673
440.142	7657
440.811	7655
441.479	7662
442.147	7674
442.815	7637
443.484	7683
444.152	7700
444.819	7692
445.487	7515
446.155	7609
446.823	7592
447.491	7594
448.158	7606
448.826	7582
449.493	7539
450.16	7632
450.828	7701
451.495	7640
452.162	7596
452.829	7549
453.496	7631
454.163	7629
454.83	7624
455.496	7723
456.163	7603
456.83	7743
457.496	7577
458.163	7681
458.829	7616
459.495	7621
460.162	7620
460.828	7583
461.494	7645
462.16	7545
462.826	7481
463.492	7587
464.157	7541
464.823	7637
465.489	7605
466.154	7638
466.82	7702
467.485	7671
468.151	7570
468.816	7523
469.481	7502
470.146	7493
470.811	7435
471.476	7553
472.141	7452
472.806	7649
473.471	7500
474.135	7565
474.8	7485
475.465	7470
476.129	7516
476.793	7443
477.458	7405
478.122	7505
478.786	7523
479.45	7490
480.114	7468
480.778	7506
481.442	7329
482.106	7532
482.769	7393
483.433	7543
484.097	7521
484.76	7435
485.424	7512
486.087	7457
486.75	7464
487.413	7492
488.076	7542
488.74	7517
489.402	7495
490.065	7508
490.728	7714
491.391	7570
492.054	7548
492.716	7550
493.379	7530
494.041	7558
494.704	7488
495.366	7467
496.028	7541
496.69	7534
497.352	7547
498.014	7495
498.676	7499
499.338	7536
500	7469
500.662	7550
501.323	7468
501.985	7378
502.646	7492
503.308	7476
503.969	7510
504.63	7517
505.292	7482
505.953	7504
506.614	7479
507.275	7463
507.936	7496
508.597	7493
509.257	7506
509.918	7512
510.579	7455
511.239	7493
511.9	7457
512.56	7598
513.22	7479
513.881	7540
514.541	7474
515.201	7542
515.861	7470
516.521	7488
517.181	7460
517.84	7548
518.5	7507
519.16	7554
519.819	7507
520.479	7521
521.138	7430
521.798	7502
522.457	7603
523.116	7508
523.775	7473
524.434	7540
525.093	7481
525.752	7478
526.411	7467
527.07	7471
527.729	7540
528.387	7508
529.046	7471
529.704	7425
530.363	7410
531.021	7449
531.679	7358
532.338	7497
532.996	7473
533.654	7377
534.312	7393
534.97	7417
535.627	7373
536.285	7394
536.943	7281
537.6	7380
538.258	7470
538.915	7341
539.573	7391
540.23	7342
540.887	7446
541.544	7421
542.202	7317
542.859	7398
543.516	7296
544.172	7305
544.829	7247
545.486	7368
546.143	7329
546.799	7391
547.456	7269
548.112	7310
548.768	7376
549.425	7291
550.081	7348
550.737	7244
551.393	7362
552.049	7292
552.705	7223
553.361	7324
554.017	7235
554.672	7258
555.328	7213
555.983	7290
556.639	7327
557.294	7247
557.95	7219
558.605	7198
559.26	7215
559.915	7210
560.57	7190
561.225	7187
561.88	7220
562.535	7200
563.19	7091
563.844	7237
564.499	7235
565.154	7198
565.808	7200
566.462	7179
567.117	7184
567.771	7235
568.425	7178
569.079	7136
569.733	7184
570.387	7213
571.041	7127
571.695	7116
572.349	7152
573.002	7231
573.656	7058
574.309	7191
574.963	7119
575.616	7084
576.269	7133
576.923	7035
577.576	7072
578.229	7040
578.882	7155
579.535	7116
580.188	7188
580.84	7172
581.493	7183
582.146	7056
582.798	7066
583.451	7093
584.103	7079
584.755	7135
585.408	7115
586.06	7108
586.712	7108
587.364	7068
588.016	7104
588.668	7057
589.32	7078
589.972	7059
590.623	7059
591.275	6986
591.926	7098
592.578	7107
593.229	7029
593.881	7040
594.532	7141
595.183	7075
595.834	7058
596.485	7067
597.136	7008
597.787	7110
598.438	7081
599.089	7048
599.739	7054
600.39	7045
601.04	7080
601.691	7087
602.341	7071
602.992	7037
603.642	7021
604.292	6958
604.942	7044
605.592	7068
606.242	7015
606.892	7093
607.542	7119
608.192	7098
608.841	7018
609.491	7019
610.14	7056
610.79	6951
611.439	7007
612.088	7044
612.738	7110
613.387	6932
614.036	7042
614.685	7122
615.334	7054
615.983	6967
616.631	7109
617.28	7066
617.929	7035
618.577	7081
619.226	7059
619.874	6930
620.523	7035
621.171	7009
621.819	7009
622.467	7068
623.115	7054
623.763	7142
624.411	7052
625.059	7026
625.707	7058
626.355	7003
627.002	7038
627.65	7003
628.297	7081
628.945	7040
629.592	7089
630.239	7094
630.887	7091
631.534	7053
632.181	7028
632.828	7038
633.475	7157
634.122	7040
634.768	7026
635.415	7024
636.062	6972
636.708	7086
637.355	7071
638.001	7046
638.647	7069
639.294	7073
639.94	7066
640.586	7033
641.232	6987
641.878	7056
642.524	7020
643.17	7021
643.816	7044
644.461	7060
645.107	7032
645.752	7006
646.398	7039
647.043	7028
647.689	7047
648.334	7010
648.979	6999
649.624	7040
650.269	7085
650.914	6977
651.559	7053
652.204	7072
652.849	7062
653.493	7022
654.138	7002
654.783	7095
655.427	7056
656.071	7097
656.716	7082
657.36	7052
658.004	6959
658.648	7019
659.292	7018
659.936	7025
660.58	7052
661.224	6989
661.868	6942
662.512	6973
663.155	7093
663.799	7082
664.442	7035
665.086	7056
665.729	6950
666.372	6935
667.015	7052
667.658	7010
668.301	6992
668.944	6971
669.587	6995
670.23	7005
670.873	7017
671.516	7027
672.158	6947
672.801	7079
673.443	7015
674.086	7056
674.728	7016
675.37	6955
676.012	6938
676.654	6999
677.296	6982
677.938	6962
678.58	6984
679.222	7047
679.864	7006
680.506	7016
681.147	7007
681.789	6890
682.43	6965
683.072	6894
683.713	6902
684.354	6921
684.995	6905
685.636	6981
686.277	6914
686.918	6949
687.559	6937
688.2	6960
688.841	6928
689.482	6995
690.122	6973
690.763	6988
691.403	6967
692.044	6884
692.684	6911
693.324	6861
693.964	6965
694.604	6980
695.244	6926
695.884	6868
696.524	6897
697.164	6915
697.804	6910
698.444	6932
699.083	6981
699.723	6920
700.362	6893
701.002	6914
701.641	6928
702.28	6941
702.919	6956
703.558	6946
704.198	6957
704.836	6905
705.475	6856
706.114	6944
706.753	6912
707.392	6922
708.03	6928
708.669	6911
709.307	6894
709.946	6949
710.584	7001
711.222	6806
711.86	6919
712.499	6947
713.137	6968
713.775	6913
714.412	6972
715.05	6915
715.688	6932
716.326	6854
716.963	6884
717.601	6899
718.238	6843
718.876	6872
719.513	6950
720.15	6871
720.788	6887
721.425	6849
722.062	6887
722.699	6898
723.336	6923
723.972	6908
724.609	6837
725.246	6892
725.883	6836
726.519	6889
727.156	6853
727.792	6835
728.428	6861
729.065	6869
729.701	6792
730.337	6878
730.973	6840
731.609	6897
732.245	6846
732.881	6797
733.517	6852
734.152	6887
734.788	6942
735.423	6877
736.059	6867
736.694	6903
737.33	6924
737.965	6915
738.6	6878
739.235	6780
739.87	6816
740.505	6868
741.14	6871
741.775	6868
742.41	6895
743.045	6866
743.679	6857
744.314	6901
744.948	6901
745.583	6775
746.217	6889
746.852	6849
747.486	6869
748.12	6807
748.754	6826
749.388	6844
750.022	6927
750.656	6879
751.29	6824
751.923	6885
