# 'raman_27.6G_p1'	'Int_27.6G_p1'
46.756	1433.64
47.468	1468.91
48.18	1506
48.892	1523.45
49.604	1555.64
50.316	1597.45
51.028	1620.91
51.74	1666
52.452	1696
53.164	1712.36
53.875	1761.45
54.587	1844.36
55.298	1889.45
56.01	1952.18
56.721	1989.09
57.432	2108.91
58.143	2212
58.854	2352.73
59.565	2482.73
60.276	2656.91
60.987	2763.27
61.698	2819.45
62.408	2953.27
63.119	3121.27
63.829	3273.64
64.54	3448.91
65.25	3614
65.96	3783.64
66.671	3966.36
67.381	4030.18
68.091	4188.91
68.801	4292.18
69.51	4339.27
70.22	4475.82
70.93	4572.36
71.64	4607.64
72.349	4747.82
73.059	4692.18
73.768	4798.91
74.477	4752.18
75.186	4837.82
75.896	4803.82
76.605	4868.55
77.314	4831.09
78.023	4818
78.731	4808
79.44	4745.09
80.149	4725.45
80.857	4662.55
81.566	4678.91
82.274	4701.45
82.983	4830.91
83.691	4861.82
84.399	4859.82
85.107	4862.36
85.815	4780.36
86.523	4734
87.231	4693.64
87.939	4682.36
88.647	4668.55
89.354	4725.82
90.062	4747.45
90.769	4712.55
91.477	4777.82
92.184	4870.18
92.891	4834
93.598	4812.91
94.306	4718.55
95.013	4767.45
95.719	4772.91
96.426	4733.27
97.133	4707.64
97.84	4628.36
98.546	4631.09
99.253	4638.36
99.959	4664.91
100.666	4666.55
101.372	4704.36
102.078	4680.55
102.784	4646.36
103.49	4658.36
104.196	4642.91
104.902	4685.27
105.608	4726.91
106.314	4681.45
107.02	4823.64
107.725	4820.73
108.431	4819.27
109.136	4763.45
109.841	4702.36
110.547	4648.55
111.252	4619.45
111.957	4661.64
112.662	4582.36
113.367	4700.55
114.072	4714.91
114.777	4652.36
115.481	4698
116.186	4752.91
116.891	4761.09
117.595	4728.55
118.299	4730.55
119.004	4757.45
119.708	4779.45
120.412	4711.82
121.116	4707.64
121.82	4668.36
122.524	4752.18
123.228	4711.09
123.932	4720.91
124.636	4686.91
125.339	4656.55
126.043	4608.73
