# 'raman shift'	'Int_5.6GPa_1'
46.756	4371.25
47.468	4470.63
48.18	4479.38
48.892	4525
49.604	4590.63
50.316	4613.13
51.028	4690.63
51.74	4745.63
52.452	4790
53.164	4835.63
53.875	4983.75
54.587	5020.63
55.298	5121.88
56.01	5201.25
56.721	5353.75
57.432	5409.38
58.143	5623.75
58.854	5790.63
59.565	5932.5
60.276	6181.25
60.987	6305.63
61.698	6443.75
62.408	6717.5
63.119	6819.38
63.829	7071.88
64.54	7426.88
65.25	7450.63
65.96	7704.38
66.671	7891.88
67.381	8088.13
68.091	8126.25
68.801	8292.5
69.51	8391.88
70.22	8518.13
70.93	8545
71.64	8628.75
72.349	8870.63
73.059	8818.75
73.768	8927.5
74.477	8865.63
75.186	8882.5
75.896	8863.75
76.605	8994.38
77.314	9115
78.023	9084.38
78.731	9037.5
79.44	9126.88
80.149	9109.38
80.857	9017.5
81.566	9145.63
82.274	9073.13
82.983	9243.13
83.691	9208.13
84.399	9258.13
85.107	9364.38
85.815	9246.88
86.523	9402.5
87.231	9325.63
87.939	9293.13
88.647	9255.63
89.354	9387.5
90.062	9386.88
90.769	9486.25
91.477	9556.88
92.184	9553.13
92.891	9456.25
93.598	9659.38
94.306	9390
95.013	9535.63
95.719	9522.5
96.426	9673.75
97.133	9453.13
97.84	9525.63
98.546	9620
99.253	9645
99.959	9707.5
100.666	9676.25
101.372	9826.88
102.078	9837.5
102.784	9747.5
103.49	9927.5
104.196	10085.6
104.902	10006.9
105.608	10016.9
106.314	10154.4
107.02	10031.3
107.725	9973.75
108.431	9938.13
109.136	10062.5
109.841	9947.5
110.547	9979.38
111.252	9910
111.957	9888.13
112.662	9840
113.367	9788.75
114.072	9939.38
114.777	9965.63
115.481	9930
116.186	9887.5
116.891	9910
117.595	9926.88
118.299	9879.38
119.004	10043.8
119.708	9981.25
120.412	10103.8
121.116	9973.75
121.82	10111.9
122.524	10224.4
123.228	10424.4
123.932	10451.3
124.636	10636.3
125.339	10469.4
126.043	10610.6
126.746	10610.6
127.45	10675
128.153	10773.1
128.856	11004.4
129.559	11205.6
130.262	11431.9
130.965	11541.9
131.668	11750
132.371	12104.4
133.074	12322.5
133.776	12555
134.479	12814.4
135.181	13416.3
135.884	13895
136.586	14405
137.289	14851.3
137.991	15635.6
138.693	16426.9
139.395	17455
140.097	17946.9
140.799	18710
141.501	19390
142.202	19665
142.904	20168.8
143.606	19988.1
144.307	19470
145.008	18838.1
145.71	17977.5
146.411	17281.9
147.112	16266.3
147.813	15648.1
148.514	15023.1
149.215	14173.8
149.916	13545
150.617	12984.4
151.318	12643.1
152.018	12139.4
152.719	11801.9
153.419	11593.1
154.12	11618.8
154.82	11147.5
155.52	10983.1
156.22	10833.1
156.921	10953.8
157.621	10756.3
158.321	10568.1
159.02	10619.4
159.72	10522.5
160.42	10495.6
161.119	10599.4
161.819	10526.3
162.518	10458.1
163.218	10373.8
163.917	10440.6
164.616	10355
165.316	10360.6
166.015	10552.5
166.714	10405.6
167.412	10638.8
168.111	10503.8
168.81	10410
169.509	10565.6
170.207	10597.5
170.906	10649.4
171.604	10450.6
172.303	10626.9
173.001	10676.9
173.699	10576.9
174.397	10487.5
175.095	10587.5
175.793	10410.6
176.491	10455.6
177.189	10426.9
177.887	10495.6
178.584	10383.8
179.282	10536.3
179.98	10246.3
180.677	10576.9
181.374	10263.8
182.072	10485.6
182.769	10478.8
183.466	10583.8
184.163	10561.3
184.86	10546.3
185.557	10776.9
186.254	10913.8
186.95	11156.9
187.647	11296.9
188.344	11513.8
189.04	11794.4
189.737	11868.1
190.433	12022.5
191.129	12451.9
191.825	12500.6
192.521	12710.6
193.217	12718.1
193.913	13038.8
194.609	12857.5
195.305	12685.6
196.001	12481.9
196.696	12331.3
197.392	12112.5
198.087	11976.3
198.783	11773.8
199.478	11541.9
200.173	11380
200.869	11355.6
201.564	11444.4
202.259	11479.4
202.954	11346.9
203.649	11338.8
204.343	11579.4
205.038	11437.5
205.733	11672.5
206.427	11661.3
207.122	11720
207.816	11669.4
208.51	11601.9
209.205	11580.6
209.899	11558.8
210.593	11281.3
211.287	11371.3
211.981	11422.5
212.675	11111.3
213.369	11358.8
214.062	11176.9
214.756	11226.9
215.449	11161.3
216.143	11013.8
216.836	11063.1
217.53	11232.5
218.223	11091.9
218.916	11174.4
219.609	11131.9
220.302	11310.6
220.995	11446.9
221.688	11372.5
222.381	11550.6
223.073	11426.9
223.766	11343.8
224.458	11600
225.151	11701.3
225.843	11963.8
226.536	11896.9
227.228	11656.3
227.92	11978.1
228.612	11875.6
229.304	11861.3
229.996	11863.1
230.688	11779.4
231.38	11778.8
232.071	11716.3
232.763	11653.8
233.454	11696.9
234.146	11748.1
234.837	11533.8
235.529	11610
236.22	11627.5
236.911	11493.1
237.602	11463.8
238.293	11328.8
238.984	11245.6
239.675	11365.6
240.366	11195
241.056	11300
241.747	11438.1
242.437	11366.9
243.128	11276.3
243.818	11345.6
244.508	11403.1
245.199	11193.1
245.889	11409.4
246.579	11235
247.269	11179.4
247.959	11297.5
248.649	11070.6
249.338	11396.3
250.028	11241.9
250.718	11299.4
251.407	11064.4
252.097	11215.6
252.786	11171.3
253.475	11082.5
254.165	11120
254.854	11039.4
255.543	11019.4
256.232	10981.9
256.921	10989.4
257.61	11045.6
258.298	10907.5
258.987	11015
259.676	10925.6
260.364	10900
261.053	10789.4
261.741	10865
262.429	10815
263.117	10817.5
263.806	10749.4
264.494	10878.8
265.182	10714.4
265.87	10671.9
266.557	10786.9
267.245	10787.5
267.933	10732.5
268.62	10778.8
269.308	10762.5
269.995	10853.1
270.683	10585
271.37	10737.5
272.057	10590
272.745	10631.9
273.432	10791.3
274.119	10785
274.805	10724.4
275.492	10762.5
276.179	10637.5
276.866	10759.4
277.552	10715.6
278.239	10701.3
278.925	10911.9
279.612	10760
280.298	10784.4
280.984	10806.3
281.67	10830
282.357	10863.1
283.043	10619.4
283.728	10938.8
284.414	10721.9
285.1	10946.9
285.786	10863.8
286.471	10768.1
287.157	10754.4
287.842	10793.1
288.528	10703.1
289.213	10740
289.898	10781.3
290.583	10580
291.269	10600.6
291.954	10690
292.638	10688.1
293.323	10543.1
294.008	10710
294.693	10609.4
295.377	10594.4
296.062	10490.6
296.746	10535
297.431	10583.1
298.115	10480.6
298.799	10389.4
299.483	10196.3
300.168	10356.9
300.852	10446.9
301.536	10186.3
302.219	10282.5
302.903	10212.5
303.587	10145.6
304.27	10076.3
304.954	10141.9
305.638	10259.4
306.321	10197.5
307.004	10123.1
307.687	10155
308.371	10213.8
309.054	10076.9
309.737	10168.8
310.42	10250.6
311.103	9928.75
311.785	10093.1
312.468	9955
313.151	9973.75
313.833	9948.75
314.516	10034.4
315.198	10003.8
315.88	10048.8
316.563	9933.75
317.245	10046.9
317.927	9850.63
318.609	9869.38
319.291	9916.25
319.973	9838.13
320.655	9975
321.336	9964.38
322.018	9955.63
322.7	9976.25
323.381	9909.38
324.063	9838.75
324.744	9884.38
325.425	9771.88
326.106	9840.63
326.787	9902.5
327.468	9743.13
328.149	9658.75
328.83	9801.88
329.511	9955
330.192	9763.75
330.873	9887.5
331.553	9751.25
332.234	9751.88
332.914	9877.5
333.594	9780.63
334.275	9978.75
334.955	9878.75
335.635	9876.25
336.315	9891.88
336.995	9782.5
337.675	9905
338.355	9860.63
339.034	9856.88
339.714	9786.88
340.394	9898.13
341.073	9802.5
341.753	9778.13
342.432	9791.88
343.111	9791.25
343.791	9740.63
344.47	9865.63
345.149	9766.88
345.828	10076.9
346.507	9753.13
347.186	9790.63
347.864	9893.75
348.543	9770.63
349.222	9862.5
349.9	10004.4
350.579	9852.5
351.257	9893.75
351.935	9875.63
352.613	9908.75
353.292	9970
353.97	9943.13
354.648	9877.5
355.326	9886.88
356.004	9913.13
356.681	9946.25
357.359	9802.5
358.037	10018.8
358.714	9855
359.392	9996.25
360.069	9852.5
360.746	9976.88
361.424	9906.25
362.101	9964.38
362.778	9810.63
363.455	10034.4
364.132	9823.13
364.809	9941.25
365.486	9811.25
366.162	9890.63
366.839	9810.63
367.515	9913.13
368.192	9879.38
368.868	9896.25
369.545	9856.88
370.221	9909.38
370.897	9961.88
371.573	9908.13
372.249	9931.25
372.925	9956.88
373.601	9935.63
374.277	10043.8
374.953	9846.88
375.628	9807.5
376.304	9964.38
376.979	9936.88
377.655	9816.25
378.33	9856.25
379.006	9911.25
379.681	9920.63
380.356	9814.38
381.031	9995.63
381.706	9802.5
382.381	9860.63
383.056	9890
383.73	9900.63
384.405	9744.38
385.08	9785.63
385.754	9876.25
386.429	9758.13
387.103	9748.13
387.777	9963.13
388.452	9795.63
389.126	9983.13
389.8	9932.5
390.474	9839.38
391.148	9820.63
391.822	9787.5
392.495	9951.25
393.169	9801.25
393.843	9858.13
394.516	9863.75
395.19	9898.13
395.863	9997.5
396.537	9733.13
397.21	9937.5
397.883	9853.13
398.556	9783.75
399.229	9783.75
399.902	9831.25
400.575	10053.1
401.248	10016.9
401.921	9683.13
402.593	9888.75
403.266	9798.13
403.938	9878.75
404.611	9905.63
405.283	9740
405.955	9805.63
