# 'raman shift'	Int_0GPa_1
46.756	1316.36
47.468	1334
48.18	1318.91
48.892	1330.36
49.604	1334.55
50.316	1331.64
51.028	1331.09
51.74	1336.36
52.452	1332.73
53.164	1340
53.875	1353.45
54.587	1362.55
55.298	1366.55
56.01	1384.36
56.721	1414.73
57.432	1446.73
58.143	1485.45
58.854	1523.27
59.565	1601.64
60.276	1693.45
60.987	1747.27
61.698	1805.27
62.408	1894
63.119	1972.18
63.829	2087.45
64.54	2202
65.25	2262.91
65.96	2360.91
66.671	2423.82
67.381	2445.64
68.091	2494.36
68.801	2496.18
69.51	2531.09
70.22	2542.36
70.93	2559.82
71.64	2629.82
72.349	2639.64
73.059	2640.91
73.768	2647.64
74.477	2656.91
75.186	2644
75.896	2701.09
76.605	2702.36
77.314	2683.27
78.023	2672.91
78.731	2693.45
79.44	2679.09
80.149	2680
80.857	2654.55
81.566	2685.27
82.274	2697.64
82.983	2731.09
83.691	2740.91
84.399	2722.18
85.107	2736.91
85.815	2732.36
86.523	2678.18
87.231	2680.18
87.939	2715.27
88.647	2697.27
89.354	2710
90.062	2753.64
90.769	2749.82
91.477	2783.09
92.184	2795.27
92.891	2786.91
93.598	2769.64
94.306	2813.64
95.013	2810.18
95.719	2785.09
96.426	2759.09
97.133	2763.09
97.84	2837.64
98.546	2784.18
99.253	2765.64
99.959	2724
100.666	2782.36
101.372	2768.91
102.078	2781.27
102.784	2762.91
103.49	2727.64
104.196	2721.09
104.902	2744.91
105.608	2712
106.314	2722
107.02	2737.64
107.725	2714.55
108.431	2740.73
109.136	2706.18
109.841	2658.36
110.547	2684
111.252	2646.91
111.957	2620
112.662	2643.27
113.367	2603.82
114.072	2655.64
114.777	2656.91
115.481	2646.55
116.186	2662.18
116.891	2697.64
117.595	2654
118.299	2669.27
119.004	2738.36
119.708	2715.64
120.412	2751.27
121.116	2787.64
121.82	2763.27
122.524	2842.36
123.228	2900
123.932	2913.09
124.636	2985.45
125.339	2945.64
126.043	2945.45
126.746	3008.36
127.45	3017.27
128.153	2987.82
128.856	3020.73
129.559	3022.91
130.262	3029.09
130.965	2959.82
131.668	2986.73
132.371	2975.09
133.074	2953.82
133.776	2932.73
134.479	2898.36
135.181	2895.09
135.884	2894.91
136.586	2889.27
137.289	2932.36
137.991	2948.18
138.693	2954.55
139.395	2951.09
140.097	2962.73
140.799	2926
141.501	2950.91
142.202	2900.73
142.904	2946.91
143.606	2925.09
144.307	2862.73
145.008	2874
145.71	2944.55
146.411	2909.45
147.112	2919.64
147.813	2896
148.514	2928.18
149.215	2988.91
149.916	2977.82
150.617	2980
151.318	2986.91
152.018	3006.91
152.719	2987.45
153.419	2989.09
154.12	3026
154.82	3072.36
155.52	3092.91
156.22	3063.27
156.921	3118.55
157.621	3111.82
158.321	3124
159.02	3198.91
159.72	3218.91
160.42	3240.36
161.119	3278.55
161.819	3323.09
162.518	3386.36
163.218	3416.18
163.917	3519.09
164.616	3603.82
165.316	3643.45
166.015	3709.27
166.714	3817.45
167.412	3940
168.111	4116.36
168.81	4228.91
169.509	4419.82
170.207	4556.36
170.906	4645.64
171.604	4818.73
172.303	4962.18
173.001	4897.27
173.699	4754.55
174.397	4690.91
175.095	4537.82
175.793	4418.55
176.491	4212.55
177.189	4191.09
177.887	4073.82
178.584	3962.55
179.282	3859.82
179.98	3778.73
180.677	3790.73
181.374	3682.55
182.072	3660
182.769	3606.55
183.466	3587.82
184.163	3518.36
184.86	3455.09
185.557	3493.09
186.254	3475.09
186.95	3372.36
187.647	3347.27
188.344	3341.64
189.04	3270.18
189.737	3282.18
190.433	3203.45
191.129	3227.64
191.825	3165.64
192.521	3145.64
193.217	3115.82
193.913	3110.18
194.609	3091.64
195.305	3047.64
196.001	3043.27
196.696	3039.45
197.392	2959.27
198.087	2988.36
198.783	2961.45
199.478	2950.91
200.173	2934.55
200.869	2942.91
201.564	2980
202.259	2943.27
202.954	2916.73
203.649	2919.45
204.343	2935.45
205.038	2870.18
205.733	2878.36
206.427	2896.73
207.122	2911.82
207.816	2877.09
208.51	2881.82
209.205	2882.36
209.899	2879.09
210.593	2897.27
211.287	2847.27
211.981	2919.09
212.675	2890.18
213.369	2873.82
214.062	2823.45
214.756	2900.36
215.449	2859.27
216.143	2877.82
216.836	2869.45
217.53	2936.36
218.223	2875.09
218.916	2862.18
219.609	2873.82
220.302	2897.27
220.995	2867.82
221.688	2839.64
222.381	2855.64
223.073	2863.27
223.766	2827.64
224.458	2850.73
225.151	2922.18
225.843	2896.18
226.536	2900
227.228	2923.45
227.92	2939.64
228.612	2913.09
229.304	2942
229.996	2942.91
230.688	2990.73
231.38	2961.09
232.071	2973.82
232.763	3018.73
233.454	3054.18
234.146	3073.27
234.837	3079.09
235.529	3035.82
236.22	3057.09
236.911	3017.45
237.602	3001.27
238.293	3015.64
238.984	3019.45
239.675	3048
240.366	2989.64
241.056	3037.27
241.747	2997.09
242.437	2983.82
243.128	2986.73
243.818	2984.55
244.508	2955.82
245.199	2975.45
245.889	2972.18
246.579	2986.18
247.269	2936.73
247.959	2955.82
248.649	2931.27
249.338	2959.64
250.028	2940.91
250.718	2945.45
251.407	2908.55
252.097	2937.27
252.786	2925.27
253.475	2903.64
254.165	2908.18
254.854	2922.36
255.543	2905.27
256.232	2857.45
256.921	2859.82
257.61	2828
258.298	2798.73
258.987	2766.36
259.676	2780.55
260.364	2749.45
261.053	2717.64
261.741	2738.55
262.429	2699.45
263.117	2720.36
263.806	2678.18
264.494	2646.36
265.182	2646.18
265.87	2595.45
266.557	2610.18
267.245	2560.55
267.933	2613.82
268.62	2567.82
269.308	2574.55
269.995	2520.55
270.683	2494.55
271.37	2498.18
272.057	2473.45
272.745	2473.82
273.432	2484.18
274.119	2440.18
274.805	2432.91
275.492	2445.45
276.179	2432.91
276.866	2390
277.552	2371.82
278.239	2371.82
278.925	2383.45
279.612	2332
280.298	2343.27
280.984	2331.82
281.67	2326
282.357	2333.64
283.043	2304.36
283.728	2313.27
284.414	2290.36
285.1	2313.45
285.786	2279.82
286.471	2280.18
287.157	2261.82
287.842	2273.45
288.528	2278.73
289.213	2270.18
289.898	2274
290.583	2250.36
291.269	2263.82
291.954	2245.09
292.638	2224.36
293.323	2221.82
294.008	2240.18
294.693	2240.73
295.377	2200.73
296.062	2196.18
296.746	2195.64
297.431	2208.91
298.115	2216.55
298.799	2187.27
299.483	2219.82
300.168	2183.27
300.852	2177.45
301.536	2206.36
302.219	2203.45
302.903	2182.36
303.587	2168.18
304.27	2182.91
304.954	2182.36
305.638	2171.82
306.321	2162.18
307.004	2152.18
307.687	2145.64
308.371	2173.09
309.054	2138.91
309.737	2150
310.42	2150.91
311.103	2126.73
311.785	2130.36
312.468	2159.27
313.151	2128.91
313.833	2122
314.516	2119.27
315.198	2119.27
315.88	2140
316.563	2136
317.245	2102.91
317.927	2110.55
318.609	2128.55
319.291	2110.91
319.973	2081.45
320.655	2087.09
321.336	2124.36
322.018	2139.82
322.7	2094.18
323.381	2097.82
324.063	2107.64
324.744	2059.82
325.425	2076.18
326.106	2079.64
326.787	2083.09
327.468	2072.91
328.149	2077.09
328.83	2093.45
329.511	2086
330.192	2056
330.873	2061.45
331.553	2083.27
332.234	2070.55
332.914	2089.09
333.594	2073.82
334.275	2058.91
334.955	2077.27
335.635	2070
336.315	2046.91
336.995	2059.27
337.675	2054
338.355	2049.09
339.034	2053.09
339.714	2078.18
340.394	2058.91
341.073	2047.09
341.753	2072.36
342.432	2057.82
343.111	2035.64
343.791	2046
344.47	2058.18
345.149	2062
345.828	2019.09
346.507	2031.09
347.186	2038.36
347.864	2025.45
348.543	2024
349.222	2036.55
349.9	2022.91
350.579	2034
351.257	2010
351.935	2064.91
352.613	2033.09
353.292	2030.36
353.97	2024.73
354.648	2020.18
355.326	2032.91
356.004	2054
356.681	2017.45
357.359	2018.73
358.037	2023.64
358.714	2041.45
359.392	1991.64
360.069	2008
360.746	2025.82
361.424	2016.18
362.101	2022.18
362.778	2009.64
363.455	2025.45
364.132	2029.27
364.809	2027.09
365.486	2016.55
366.162	2030.73
366.839	2015.64
367.515	2046.36
368.192	2006.91
368.868	2016
369.545	2036.18
370.221	1998.36
370.897	2009.45
371.573	2020.36
372.249	2033.82
372.925	2004.55
373.601	1993.27
374.277	2004.73
374.953	2006.73
375.628	1988.91
376.304	2004
376.979	2018.55
377.655	1997.64
378.33	2003.64
379.006	2026.55
379.681	1998.18
380.356	2000.73
381.031	1996.55
381.706	2011.64
382.381	2006.73
383.056	1999.27
383.73	1990.18
384.405	2009.64
385.08	2005.64
385.754	1988.18
386.429	1999.45
387.103	1995.82
387.777	2027.45
388.452	1980
389.126	1969.27
389.8	1976.91
390.474	1994.73
391.148	1975.82
391.822	1997.27
392.495	1970.18
393.169	1995.45
393.843	1948.55
394.516	1998
395.19	2025.64
395.863	1998.36
396.537	1986.73
397.21	2002.36
397.883	2000
398.556	1982.55
399.229	1960.18
399.902	1971.45
400.575	2002.91
401.248	1993.45
401.921	1968.91
402.593	1977.82
403.266	1971.27
403.938	1995.82
404.611	1966.18
405.283	1986.36
405.955	1983.82
406.628	1991.64
407.3	1962.91
407.972	1970.36
408.644	1991.27
409.316	1971.82
409.987	1960.36
410.659	1978.91
411.331	1946
412.002	1971.27
412.674	1976.55
413.345	1953.27
414.017	1962.55
414.688	1946.91
415.359	1986.18
416.031	1983.82
416.702	1947.27
417.373	1964.73
418.044	1950.55
418.714	1972.91
419.385	1970.55
420.056	1970.55
420.726	1940
421.397	1946.91
422.068	1986.73
422.738	1956.18
423.408	1962.73
424.079	1968.91
424.749	1946
425.419	1914.18
426.089	1953.64
426.759	1934
427.429	1961.27
428.099	1938.55
428.768	1924.18
429.438	1945.64
430.107	1965.64
430.777	1956.18
431.446	1931.09
432.116	1970
432.785	1941.82
433.454	1932.91
434.123	1929.45
434.792	1965.45
435.461	1956
436.13	1932.91
436.799	1930.36
437.468	1935.27
438.137	1946.73
438.805	1951.45
439.474	1925.09
440.142	1940.55
440.811	1920.73
441.479	1932
442.147	1932.73
442.815	1957.09
443.484	1945.64
444.152	1935.27
444.819	1933.45
445.487	1896.73
446.155	1917.27
446.823	1902.55
447.491	1906.18
448.158	1926.91
448.826	1917.64
449.493	1919.09
450.16	1921.45
450.828	1927.64
451.495	1947.82
452.162	1915.09
452.829	1915.09
453.496	1934.36
454.163	1932.36
454.83	1898.73
455.496	1920.36
456.163	1904.55
456.83	1951.27
457.496	1911.27
458.163	1919.64
458.829	1935.64
459.495	1914.18
460.162	1897.09
460.828	1896
461.494	1941.27
462.16	1934.18
462.826	1910.91
463.492	1912
464.157	1911.45
464.823	1930.55
465.489	1906.36
466.154	1915.27
466.82	1889.45
467.485	1902.18
468.151	1881.27
468.816	1906
469.481	1910.36
470.146	1931.27
470.811	1901.82
471.476	1877.45
472.141	1908
472.806	1896.55
473.471	1875.45
474.135	1885.45
474.8	1919.64
475.465	1890.36
476.129	1888.91
476.793	1886.73
477.458	1917.27
478.122	1884.18
478.786	1879.45
479.45	1901.45
480.114	1879.64
480.778	1907.09
481.442	1894.73
482.106	1871.82
482.769	1899.27
483.433	1872.55
484.097	1872.91
484.76	1860.36
485.424	1882.36
486.087	1880.36
486.75	1887.45
487.413	1884.73
488.076	1882.73
488.74	1867.64
489.402	1869.64
490.065	1840.73
490.728	1865.27
491.391	1888.36
492.054	1861.82
492.716	1874.73
493.379	1889.82
494.041	1876.36
494.704	1873.45
495.366	1855.64
496.028	1863.82
496.69	1881.45
497.352	1866.73
498.014	1854.73
498.676	1868
499.338	1859.64
500	1844.91
500.662	1837.64
501.323	1862.18
501.985	1869.82
502.646	1866.36
503.308	1854.73
503.969	1848
504.63	1847.64
505.292	1853.64
505.953	1863.27
506.614	1856.73
507.275	1874.73
507.936	1850.91
508.597	1838.55
509.257	1840
509.918	1851.45
510.579	1850
511.239	1843.45
511.9	1839.09
512.56	1850.36
513.22	1835.09
513.881	1863.82
514.541	1845.82
515.201	1852.91
515.861	1853.45
516.521	1866.73
517.181	1832
517.84	1834.36
518.5	1836.91
519.16	1842.36
519.819	1852.55
520.479	1806
521.138	1848.73
521.798	1839.64
522.457	1830.55
523.116	1856.36
523.775	1825.09
524.434	1828.73
525.093	1823.27
525.752	1840.73
526.411	1832.18
527.07	1823.82
527.729	1851.09
528.387	1847.45
529.046	1827.64
529.704	1823.27
530.363	1830
531.021	1849.27
531.679	1829.64
532.338	1840
532.996	1820.73
533.654	1818.18
534.312	1838
534.97	1827.09
535.627	1808.18
536.285	1850.55
536.943	1819.82
537.6	1805.09
538.258	1844.73
538.915	1828
539.573	1805.64
540.23	1804.36
540.887	1815.82
541.544	1820.18
542.202	1835.45
542.859	1822.73
543.516	1801.09
544.172	1822.18
544.829	1815.27
545.486	1816
546.143	1816.55
546.799	1802.73
547.456	1819.64
548.112	1800.73
548.768	1806.91
549.425	1828.91
550.081	1813.09
550.737	1826.18
551.393	1802.36
552.049	1818
552.705	1826.73
553.361	1822.55
554.017	1833.27
554.672	1831.64
555.328	1808
555.983	1818.91
556.639	1800.55
557.294	1809.09
557.95	1805.09
558.605	1789.64
559.26	1793.82
559.915	1812.55
560.57	1795.82
561.225	1789.45
561.88	1809.09
562.535	1812.73
563.19	1811.64
563.844	1789.09
564.499	1807.82
565.154	1807.64
565.808	1814.91
566.462	1779.27
567.117	1788.73
567.771	1805.45
568.425	1780.91
569.079	1826.73
569.733	1778.36
570.387	1802.91
571.041	1800.73
571.695	1808
572.349	1787.09
573.002	1795.09
573.656	1796.18
574.309	1787.09
574.963	1796
575.616	1792
576.269	1785.64
576.923	1794.36
577.576	1800.36
578.229	1782
578.882	1784.55
579.535	1755.64
580.188	1791.64
580.84	1799.45
581.493	1784.73
582.146	1789.45
582.798	1774.91
583.451	1808.18
584.103	1800.73
584.755	1774.91
585.408	1767.45
586.06	1782
586.712	1781.45
587.364	1764.55
588.016	1788.55
588.668	1763.82
589.32	1798
589.972	1794
590.623	1767.27
591.275	1794.73
591.926	1793.82
592.578	1773.64
593.229	1787.27
593.881	1785.27
594.532	1795.09
595.183	1784.55
595.834	1793.64
596.485	1804.55
597.136	1768
597.787	1760.36
598.438	1775.09
599.089	1783.09
599.739	1776.18
600.39	1786.55
601.04	1761.09
601.691	1789.27
602.341	1793.27
602.992	1772
603.642	1771.45
604.292	1782.55
604.942	1777.64
605.592	1764.36
606.242	1778.91
606.892	1787.64
607.542	1799.09
608.192	1772.55
608.841	1761.45
609.491	1762.18
610.14	1784.55
610.79	1778.36
611.439	1762.18
612.088	1772.73
612.738	1784.18
613.387	1766
614.036	1772.91
614.685	1767.45
615.334	1786
615.983	1777.64
616.631	1756
617.28	1762.36
617.929	1787.45
618.577	1781.64
619.226	1786.73
619.874	1784.18
620.523	1783.45
621.171	1772.55
621.819	1771.27
622.467	1762.18
623.115	1782.55
623.763	1790.91
624.411	1772
625.059	1755.45
625.707	1763.82
626.355	1758.36
627.002	1775.82
627.65	1749.82
628.297	1764.36
628.945	1787.82
629.592	1767.09
630.239	1761.27
630.887	1763.09
631.534	1784.36
632.181	1764.91
632.828	1771.64
633.475	1770.73
634.122	1794.55
634.768	1761.45
635.415	1742.73
636.062	1769.45
636.708	1752
637.355	1756.91
638.001	1762.55
638.647	1760.55
639.294	1758
639.94	1766.73
640.586	1770.55
641.232	1759.09
641.878	1767.82
642.524	1762.73
643.17	1787.64
643.816	1766.55
644.461	1759.09
645.107	1762.36
645.752	1747.82
646.398	1751.64
647.043	1763.45
647.689	1747.27
648.334	1757.27
648.979	1739.09
649.624	1756.55
650.269	1760.91
650.914	1748.18
651.559	1759.27
652.204	1783.27
652.849	1756.36
653.493	1770.18
654.138	1764.55
654.783	1767.27
655.427	1768.36
656.071	1725.45
656.716	1736.36
657.36	1761.64
658.004	1759.82
658.648	1759.64
659.292	1754.73
659.936	1733.27
660.58	1737.27
661.224	1761.82
661.868	1762.73
662.512	1727.09
663.155	1758.91
663.799	1750.91
664.442	1775.45
665.086	1726.55
665.729	1750.18
666.372	1760.55
667.015	1745.64
667.658	1754.73
668.301	1758.73
668.944	1752
669.587	1757.64
670.23	1733.45
670.873	1740.91
671.516	1762.55
672.158	1758.91
672.801	1756.55
673.443	1738.73
674.086	1750.36
674.728	1736.18
675.37	1730.91
676.012	1725.09
676.654	1746.73
677.296	1745.09
677.938	1751.09
678.58	1732.18
679.222	1731.82
679.864	1748
680.506	1721.45
681.147	1734
681.789	1756.55
682.43	1733.82
683.072	1728.18
683.713	1723.45
684.354	1728
684.995	1735.09
685.636	1727.64
686.277	1712
686.918	1713.27
687.559	1738.55
688.2	1744.36
688.841	1724.73
689.482	1714.91
690.122	1696.91
690.763	1732.91
691.403	1726.91
692.044	1740.73
692.684	1721.27
693.324	1720.91
693.964	1725.45
694.604	1719.64
695.244	1736.36
695.884	1731.45
696.524	1730.18
697.164	1735.45
697.804	1724.36
698.444	1725.27
699.083	1719.09
699.723	1706.91
700.362	1737.27
701.002	1736.73
701.641	1715.45
702.28	1730.73
702.919	1725.64
703.558	1715.27
704.198	1732
704.836	1721.82
705.475	1739.64
706.114	1711.82
706.753	1714.91
707.392	1716.18
708.03	1716.18
708.669	1704.18
709.307	1700.36
709.946	1712.18
710.584	1714.36
711.222	1723.27
711.86	1712.55
712.499	1717.27
713.137	1723.45
713.775	1711.82
714.412	1709.45
715.05	1704.18
715.688	1730.36
