# Tdn_K_80G	Rdn_Ohm_80G
	
	
299.413	0.918377
299.011	0.920748
298.191	0.912207
297.567	0.911567
297.346	0.912271
297.205	0.911655
297.016	0.910312
297.063	0.910062
297.153	0.912235
296.978	0.910416
296.874	0.910754
296.79	0.910918
296.699	0.910374
296.561	0.910038
296.469	0.9101
296.37	0.909907
296.266	0.909528
296.141	0.90908
296.045	0.909158
295.929	0.908875
295.824	0.908729
295.722	0.908389
295.623	0.908346
295.52	0.907988
295.416	0.907753
295.317	0.907444
295.214	0.907197
295.11	0.906996
295.005	0.906695
294.905	0.906553
294.801	0.906468
294.688	0.906042
294.58	0.905852
294.475	0.90555
294.363	0.905342
294.269	0.905079
294.167	0.904805
294.067	0.904606
293.957	0.904454
293.854	0.903934
293.757	0.903894
293.653	0.903694
293.55	0.90336
293.442	0.903029
293.342	0.902868
293.246	0.902588
293.143	0.902396
293.036	0.902093
292.928	0.901838
292.828	0.901763
292.718	0.901455
292.611	0.901107
292.505	0.900944
292.391	0.900756
292.288	0.900308
292.191	0.900205
292.079	0.899891
291.977	0.89976
291.87	0.89937
291.77	0.89916
291.67	0.899003
291.571	0.898692
291.467	0.898518
291.358	0.898178
291.253	0.898119
291.156	0.897781
291.047	0.8976
290.944	0.897406
290.836	0.897034
290.736	0.897023
290.632	0.896762
290.539	0.896421
290.43	0.896299
290.329	0.89593
290.227	0.895855
290.127	0.895502
290.025	0.895317
289.922	0.895095
289.82	0.894829
289.721	0.89485
289.614	0.894457
289.507	0.894076
289.403	0.894001
289.3	0.893639
289.2	0.893444
289.095	0.89316
288.993	0.893035
288.891	0.892721
288.79	0.892726
288.696	0.892392
288.594	0.892138
288.496	0.891934
288.389	0.891766
288.286	0.891486
288.183	0.891336
288.083	0.891092
287.979	0.890923
287.875	0.89065
287.772	0.890634
287.659	0.890259
287.555	0.889921
287.448	0.889786
287.349	0.889518
287.245	0.889231
287.137	0.88911
287.043	0.888827
286.944	0.888656
286.84	0.888544
286.738	0.88833
286.625	0.887926
286.525	0.887695
286.427	0.887625
286.32	0.887533
286.226	0.887136
286.122	0.887001
286.02	0.88685
285.919	0.886552
285.819	0.886265
285.711	0.88615
285.614	0.885792
285.515	0.885582
285.412	0.885417
285.31	0.885373
285.212	0.88499
285.112	0.884735
285.012	0.884609
284.916	0.884517
284.822	0.884302
284.717	0.883967
284.615	0.883773
284.508	0.883467
284.407	0.883415
284.307	0.883176
284.199	0.882965
284.1	0.882885
283.998	0.882533
283.899	0.882187
283.791	0.88215
283.689	0.882034
283.586	0.881611
283.484	0.881424
283.375	0.881303
283.278	0.881075
283.172	0.88071
283.064	0.880747
282.97	0.880422
282.86	0.880161
282.758	0.880105
282.657	0.879796
282.56	0.879522
282.45	0.879313
282.346	0.879173
282.239	0.879012
282.134	0.878834
282.026	0.878703
281.93	0.878339
281.822	0.878157
281.727	0.877899
281.623	0.877562
281.518	0.877428
281.413	0.87736
281.321	0.87712
281.213	0.876955
281.111	0.876865
281.009	0.876527
280.905	0.876225
280.802	0.876246
280.7	0.875906
280.598	0.875551
280.496	0.875514
280.391	0.875232
280.287	0.874975
280.19	0.874899
280.088	0.874719
279.977	0.874306
