#  'Tup_K_94.2G_0.6T'	'Rup_Ohm_94.2G_0.6T'
	
	
1.53954	0.35394
1.66615	0.35388
1.75801	0.35385
1.84373	0.353837
1.92541	0.353883
2.00247	0.353883
2.07677	0.353917
2.1491	0.353981
2.21955	0.353886
2.29087	0.353905
2.35964	0.353898
2.4308	0.35387
2.49967	0.353913
2.57087	0.353967
2.64071	0.353863
2.71133	0.353841
2.7807	0.35389
2.85055	0.353869
2.9204	0.353869
2.98919	0.353924
3.0599	0.353978
3.12895	0.353942
3.19955	0.353907
3.26977	0.353853
3.33899	0.35388
3.41	0.353983
3.47824	0.353952
3.54968	0.353879
3.61956	0.353905
3.68949	0.353961
3.76045	0.353896
3.82872	0.353897
3.90044	0.353895
3.9705	0.354004
4.03856	0.354025
4.1105	0.353986
4.18209	0.353965
4.25014	0.354056
4.31938	0.354009
4.39187	0.353997
4.46313	0.354025
4.53258	0.354021
4.59974	0.353977
4.67179	0.353983
4.74245	0.354016
4.81155	0.354055
4.87846	0.354039
4.94995	0.353933
5.02046	0.353996
5.08936	0.354005
5.15617	0.353918
5.22631	0.353932
5.29729	0.353933
5.36706	0.353986
5.43464	0.354034
5.64214	0.35397
5.71046	0.353955
5.77819	0.353962
5.84672	0.353957
5.9181	0.354066
5.98783	0.354058
6.05563	0.353978
6.12301	0.354032
