# 'Tdn_K_123.5G'	'Rdn_Ohm_123.5G'	'Rdn/R5k_Ohm_123.5G'
292.026	0.445468	1.09435
291.996	0.445473	1.09436
291.967	0.445471	1.09436
291.938	0.445472	1.09423
291.903	0.445471	1.09413
291.876	0.445475	1.08795
291.844	0.445467	1.087
291.814	0.445468	1.08628
291.784	0.445465	1.0864
291.757	0.445465	1.08618
291.729	0.44548	1.08643
291.697	0.445465	1.0864
291.673	0.445462	1.08633
291.642	0.445457	1.08639
291.613	0.445449	1.08645
291.587	0.445447	1.08647
291.556	0.44544	1.0865
291.53	0.445439	1.08654
291.501	0.44544	1.08658
291.474	0.445422	1.08654
291.448	0.445415	1.08658
291.418	0.445416	1.08665
291.388	0.445405	1.08662
291.365	0.445402	1.08665
291.255	0.445374	1.08668
291.149	0.445339	1.08667
291.043	0.445324	1.0867
290.935	0.445282	1.0867
290.83	0.44528	1.08669
290.736	0.445226	1.08672
290.629	0.445194	1.08673
290.524	0.445157	1.08673
290.416	0.445113	1.08672
290.308	0.445074	1.08673
290.205	0.445031	1.08673
290.096	0.444991	1.08673
289.988	0.444943	1.08673
289.878	0.444895	1.08674
289.767	0.44486	1.08672
289.662	0.444802	1.08672
289.554	0.444772	1.08671
289.443	0.444732	1.08671
289.335	0.444676	1.08675
289.23	0.444619	1.08671
289.124	0.444583	1.0867
289.018	0.444532	1.08669
288.911	0.444493	1.08667
288.8	0.444452	1.08667
288.695	0.444385	1.08665
288.589	0.444335	1.08665
288.476	0.444287	1.08665
288.365	0.444236	1.08661
288.263	0.444194	1.08659
288.156	0.444149	1.08659
288.055	0.444095	1.08657
287.95	0.444058	1.08656
287.838	0.443996	1.08649
287.736	0.443934	1.0864
287.627	0.443907	1.08637
287.521	0.443846	1.08626
287.418	0.443806	1.08626
287.308	0.44377	1.08613
287.197	0.443709	1.08605
287.089	0.443667	1.08596
286.976	0.443609	1.08585
286.87	0.443565	1.08576
286.764	0.443528	1.08565
286.656	0.443482	1.08556
286.548	0.443423	1.08544
286.45	0.443382	1.08532
286.339	0.443343	1.08524
286.238	0.443281	1.08509
286.139	0.443251	1.08502
286.031	0.443201	1.08493
285.92	0.443165	1.08479
285.812	0.443115	1.08465
285.706	0.443061	1.08456
285.601	0.443019	1.08443
285.496	0.442985	1.08434
285.389	0.442934	1.08424
285.283	0.442881	1.08408
285.18	0.442856	1.08396
285.073	0.442798	1.08384
284.966	0.442765	1.08371
284.858	0.44273	1.08361
284.755	0.442679	1.0835
284.649	0.44265	1.08337
284.539	0.442601	1.08328
284.435	0.442558	1.08313
284.333	0.442495	1.08298
284.222	0.442462	1.08291
284.113	0.442417	1.08276
284.006	0.442381	1.08267
283.901	0.442318	1.08258
283.797	0.442266	1.08243
283.695	0.442244	1.08233
283.585	0.442209	1.08219
283.479	0.442169	1.08208
283.377	0.442119	1.08199
283.262	0.44207	1.08188
283.158	0.44204	1.08173
283.045	0.441991	1.08163
282.943	0.44196	1.08154
282.834	0.441921	1.08138
282.724	0.441876	1.08131
282.622	0.441819	1.08119
282.51	0.441784	1.0811
282.408	0.441724	1.08098
282.301	0.441703	1.08085
282.192	0.441654	1.08074
282.082	0.441602	1.08066
281.976	0.441567	1.08054
281.871	0.441531	1.08041
281.767	0.441507	1.08035
281.661	0.441472	1.08021
281.549	0.44143	1.08013
