# 'Tdn_K_123.5G_0 Oe'	'Rdn_Ohm_123.5G_0 Oe'
4.98623	0.412034
4.93208	0.412058
4.87777	0.412036
4.82564	0.412043
4.77348	0.412043
4.71999	0.412045
4.6658	0.412049
4.61163	0.412057
4.5588	0.412044
4.50629	0.41206
4.45417	0.412053
4.40104	0.412059
4.34613	0.412045
4.29274	0.41206
4.24194	0.412046
4.19024	0.412048
4.13622	0.412058
4.08249	0.412058
4.0286	0.412037
3.97777	0.412056
3.92577	0.412057
3.87227	0.412056
3.8192	0.412047
3.76804	0.412055
3.71614	0.41205
3.66363	0.412044
3.56169	0.412061
3.51012	0.412051
3.45899	0.412055
3.4091	0.412039
3.35816	0.412049
3.30626	0.412032
3.25773	0.412054
3.20805	0.412031
3.15668	0.412027
3.10731	0.412023
3.05775	0.412018
3.00768	0.412036
2.95891	0.412012
2.91031	0.412009
2.85997	0.412
2.81027	0.412006
2.7624	0.412007
2.71332	0.412008
2.66291	0.412004
2.6151	0.412
2.56666	0.411987
2.51647	0.411981
2.46812	0.411986
2.41942	0.411974
2.36934	0.411982
2.32224	0.411978
2.27319	0.411971
2.22289	0.411961
2.17548	0.411942
2.12593	0.411932
2.07675	0.41193
2.02895	0.411926
1.97886	0.411919
1.93011	0.411888
1.88083	0.411889
1.82797	0.411879
1.7788	0.411883
1.72688	0.411863
1.67797	0.411858
1.62867	0.411849
1.58964	0.411857
1.56046	0.411859
1.53551	0.41186
1.5213	0.411847
1.50437	0.411849
