# 'Tdn_K_123.5G_500 Oe'	'Rdn_Ohm_123.5G_500 Oe'
4.95904	0.412065
4.9039	0.412057
4.84944	0.412037
4.79711	0.412062
4.74441	0.412033
4.69007	0.412042
4.63612	0.412051
4.58127	0.412057
4.52912	0.412064
4.47675	0.412071
4.42338	0.412049
4.36909	0.412041
4.3143	0.412065
4.26257	0.412054
4.21136	0.412058
4.15889	0.412055
4.10566	0.412065
4.05061	0.412056
3.99856	0.412056
3.94726	0.41206
3.89435	0.412044
3.84086	0.412059
3.7901	0.412038
3.73881	0.412064
3.68644	0.412056
3.63439	0.412042
3.58439	0.412072
3.5329	0.412073
3.48027	0.412068
3.43022	0.412034
3.38022	0.412066
3.3283	0.412065
3.27842	0.412071
3.22882	0.412062
3.17779	0.412054
3.12745	0.41205
3.07899	0.412029
3.02854	0.412045
2.97819	0.412045
2.9297	0.412021
2.8808	0.412005
2.83065	0.412046
2.78221	0.412035
2.73321	0.412007
2.68324	0.412018
2.63453	0.412017
2.58631	0.411995
2.53676	0.41203
2.48718	0.412007
2.43926	0.411994
2.39019	0.412016
2.34146	0.412013
2.29312	0.41201
2.244	0.411989
2.19618	0.412001
2.14782	0.41198
2.09885	0.412003
2.05126	0.412016
2.00291	0.411999
1.95324	0.412
1.90543	0.411969
1.8536	0.411981
1.80591	0.411974
1.75577	0.411966
1.70738	0.411975
1.66088	0.411928
1.61642	0.411938
1.58085	0.411937
1.55268	0.411915
1.53133	0.411937
1.51775	0.411913
