# 'Tdn_K_76.8G'	'Rdn_Ohm_76.8G'
294.779	0.999446
294.678	0.998489
294.575	0.997561
294.476	0.996915
294.371	0.996863
294.283	0.997535
294.241	0.995572
294.138	0.995391
294.038	0.994513
293.931	0.994876
293.832	0.994823
293.723	0.994823
293.623	0.995004
293.519	0.992911
293.42	0.992655
293.317	0.991749
293.21	0.990199
293.107	0.989685
293.003	0.989762
292.892	0.989632
292.789	0.98865
292.688	0.986792
292.585	0.98692
292.483	0.986094
292.38	0.984028
292.279	0.985371
292.173	0.984776
292.072	0.982608
291.966	0.982814
291.866	0.980593
291.762	0.980904
291.667	0.98018
291.565	0.978528
291.455	0.979689
291.361	0.9785
291.253	0.977005
291.149	0.976125
291.05	0.974499
290.949	0.974293
290.842	0.972511
290.741	0.973388
290.636	0.972459
290.534	0.970909
290.429	0.970547
290.328	0.970108
290.233	0.968353
290.125	0.96719
290.024	0.967552
289.918	0.967397
289.816	0.965434
289.714	0.965356
289.61	0.964039
289.505	0.962516
289.408	0.963032
289.305	0.962387
289.204	0.961018
289.103	0.963007
289.002	0.959417
288.899	0.958462
288.796	0.956756
288.694	0.958152
288.594	0.955828
288.496	0.957945
288.389	0.954691
288.286	0.955465
288.179	0.954201
288.082	0.954562
287.977	0.953297
287.873	0.951696
287.773	0.950843
287.672	0.951567
287.57	0.949862
287.468	0.947744
287.365	0.947797
287.262	0.947538
287.161	0.947048
287.055	0.946581
286.952	0.944491
286.848	0.943431
286.744	0.943844
286.642	0.944284
286.538	0.941365
286.433	0.941056
286.332	0.940874
286.23	0.939326
286.128	0.939481
286.027	0.938009
285.927	0.937103
285.822	0.936796
285.721	0.93806
285.618	0.934806
285.515	0.934986
285.414	0.933385
285.313	0.93287
285.211	0.93217
285.106	0.930184
285.004	0.930621
284.903	0.93026
284.8	0.929073
284.699	0.929125
284.598	0.928944
284.494	0.92804
284.392	0.926904
284.287	0.926285
284.184	0.925561
284.084	0.925355
283.981	0.924553
283.879	0.924348
283.774	0.922668
283.67	0.921583
283.565	0.92166
283.466	0.921222
283.365	0.919543
283.26	0.919053
283.159	0.918563
283.055	0.917761
282.957	0.91771
282.851	0.91709
282.744	0.915721
282.642	0.914817
282.54	0.912778
282.436	0.913501
282.334	0.913062
282.235	0.911435
282.132	0.911409
282.031	0.911254
281.928	0.911667
281.826	0.909447
281.724	0.908465
281.623	0.908077
281.519	0.906684
281.416	0.906554
281.313	0.906528
281.211	0.905805
281.106	0.904926
281.002	0.902782
280.899	0.903325
280.801	0.902679
280.695	0.9002
280.594	0.90175
280.493	0.900949
280.392	0.898961
280.289	0.899064
280.181	0.897877
280.08	0.897465
279.976	0.898574
279.872	0.897128
279.772	0.897257
279.67	0.895553
279.569	0.893796
279.466	0.8931
279.363	0.894183
279.262	0.892196
279.159	0.892556
279.062	0.890413
278.956	0.889251
278.851	0.890335
278.75	0.889225
278.651	0.889638
278.548	0.888243
278.445	0.887677
278.344	0.88641
278.242	0.885301
278.14	0.886411
278.035	0.883855
277.935	0.882408
277.834	0.88419
277.731	0.883209
277.633	0.882692
277.527	0.880987
277.426	0.879567
277.324	0.880058
277.218	0.879568
277.116	0.878198
277.017	0.877477
276.915	0.878999
276.813	0.876907
276.711	0.873345
276.608	0.874919
276.507	0.875669
276.406	0.876597
276.303	0.874172
276.202	0.874298
276.1	0.87156
275.996	0.871537
275.893	0.870916
275.791	0.870451
275.689	0.870632
275.587	0.87058
275.486	0.86805
275.384	0.868618
275.279	0.868309
275.18	0.866681
275.078	0.865337
274.976	0.865209
274.873	0.865545
274.769	0.864899
274.672	0.863944
274.567	0.862963
274.466	0.861438
274.365	0.861981
274.26	0.860018
274.154	0.86056
274.054	0.860819
273.95	0.859554
273.844	0.858986
273.747	0.859734
273.642	0.857048
273.543	0.857488
273.438	0.856687
273.333	0.856016
273.231	0.85519
273.129	0.854465
273.027	0.85519
272.926	0.853665
272.824	0.853561
272.721	0.851574
272.62	0.850671
272.52	0.852426
272.416	0.850721
272.317	0.850334
272.214	0.849301
272.111	0.849585
272.007	0.847958
271.908	0.847623
271.803	0.847701
271.698	0.845789
271.598	0.845272
271.5	0.844807
271.397	0.844343
271.293	0.844343
271.19	0.843851
271.086	0.842794
270.983	0.842949
270.881	0.841837
270.779	0.841501
270.678	0.84083
270.573	0.838791
270.474	0.839436
270.37	0.839928
270.272	0.839488
270.163	0.838327
270.06	0.837344
269.961	0.836622
269.859	0.836441
269.757	0.835252
269.654	0.83564
269.555	0.834065
269.452	0.833523
269.348	0.833496
269.25	0.833238
269.147	0.831766
269.046	0.831431
268.947	0.830966
268.844	0.830036
268.738	0.830425
268.64	0.829029
268.537	0.828202
268.436	0.827738
268.333	0.828823
268.233	0.82655
268.131	0.827299
268.033	0.825388
267.93	0.827635
267.827	0.826472
267.724	0.823708
267.62	0.825336
267.519	0.82345
267.414	0.820843
267.316	0.822495
267.209	0.82198
267.113	0.821152
267.01	0.819499
266.906	0.822495
266.805	0.820893
266.702	0.818725
266.603	0.818156
266.5	0.817847
266.394	0.816555
266.292	0.816529
266.19	0.816246
266.087	0.816247
265.983	0.815989
265.882	0.814362
265.781	0.815291
265.68	0.812269
265.577	0.812916
265.474	0.813019
265.371	0.812657
265.267	0.811598
265.163	0.812322
265.063	0.809894
264.964	0.810436
264.858	0.809739
264.757	0.808421
264.656	0.808395
264.553	0.808111
264.448	0.808396
264.348	0.80566
264.245	0.806768
264.14	0.804653
264.04	0.805554
263.94	0.804547
263.835	0.804393
263.728	0.804134
263.632	0.80447
263.526	0.802973
263.426	0.802379
263.324	0.802896
263.22	0.801605
263.121	0.800287
263.021	0.801139
262.918	0.800158
262.817	0.79972
262.716	0.799486
262.614	0.79866
262.512	0.797964
262.408	0.797343
262.308	0.796052
262.202	0.796233
262.104	0.794606
262	0.795044
261.899	0.795122
261.799	0.793341
261.697	0.793961
261.596	0.793081
261.491	0.792668
261.392	0.79192
261.286	0.791945
261.187	0.79236
261.083	0.789726
260.978	0.791378
260.875	0.789441
260.775	0.790938
260.676	0.788847
260.572	0.788588
260.473	0.788381
260.368	0.787582
260.269	0.785413
260.164	0.786497
260.061	0.786058
259.961	0.784715
259.86	0.785903
259.757	0.783708
259.656	0.784017
259.558	0.783449
259.451	0.784224
259.353	0.783707
259.248	0.78221
259.147	0.780739
259.045	0.780918
258.942	0.781461
258.838	0.780583
258.74	0.779912
258.635	0.77986
258.533	0.778699
258.428	0.776451
258.329	0.777975
258.227	0.777124
258.127	0.777743
258.022	0.776736
257.921	0.776245
257.818	0.775856
257.715	0.776012
257.615	0.774153
257.512	0.773637
257.405	0.773301
257.304	0.771803
257.201	0.774257
257.096	0.772293
256.996	0.771958
256.888	0.770848
256.791	0.771544
256.688	0.771751
256.587	0.769917
256.484	0.768472
256.383	0.76966
256.28	0.768602
256.179	0.768833
256.077	0.766999
255.974	0.76736
255.875	0.767773
255.773	0.765812
255.673	0.765708
255.569	0.765115
255.469	0.765553
255.368	0.764135
255.265	0.764804
255.163	0.763307
255.063	0.764056
254.959	0.762584
254.857	0.763151
254.755	0.763617
254.653	0.761706
254.553	0.761267
254.453	0.759975
254.347	0.759019
254.25	0.759691
254.148	0.757599
254.047	0.759225
253.945	0.757884
253.843	0.758814
253.74	0.757419
253.637	0.7584
253.537	0.757341
253.435	0.757212
253.332	0.755534
253.228	0.755121
253.128	0.754965
253.025	0.755224
252.92	0.755249
252.821	0.753958
252.718	0.752151
252.619	0.754165
252.516	0.753054
252.414	0.75135
252.314	0.752255
252.21	0.752254
252.105	0.750034
252.005	0.75104
251.901	0.750265
251.8	0.750163
251.696	0.748304
251.595	0.749387
251.494	0.749775
251.389	0.745902
251.285	0.747451
251.183	0.746083
251.079	0.747555
250.98	0.745075
250.88	0.746676
250.779	0.744946
250.676	0.744791
250.572	0.744403
250.47	0.744508
250.369	0.744457
250.266	0.744223
250.161	0.742053
250.063	0.742725
249.962	0.742414
249.859	0.742285
249.759	0.741485
249.654	0.74102
249.552	0.741433
249.451	0.741382
249.352	0.740711
249.249	0.740608
249.148	0.738129
249.044	0.738826
248.94	0.737225
248.836	0.739574
248.737	0.737922
248.642	0.736372
248.535	0.736011
248.434	0.735003
248.33	0.734668
248.228	0.735391
248.126	0.736268
248.024	0.736037
247.923	0.733195
247.822	0.733918
247.717	0.73397
247.613	0.734358
247.513	0.732008
247.411	0.733299
247.309	0.733765
247.203	0.731491
247.101	0.731801
247.001	0.732498
246.898	0.731105
246.794	0.729503
246.695	0.731285
246.592	0.729786
246.489	0.729271
246.389	0.728677
246.288	0.728548
246.181	0.728573
246.082	0.727024
245.982	0.72847
245.879	0.727566
245.776	0.728108
245.674	0.727591
245.571	0.725422
245.47	0.725965
245.368	0.725036
245.264	0.725809
245.16	0.723847
245.061	0.722866
244.958	0.722996
244.858	0.722995
244.759	0.723228
244.654	0.722738
244.555	0.722917
244.452	0.721858
244.352	0.72235
244.248	0.720284
244.15	0.719663
244.047	0.720697
243.944	0.720103
243.84	0.719819
243.738	0.720517
243.637	0.719922
243.535	0.719224
243.43	0.718554
243.334	0.718321
243.23	0.71752
243.126	0.716643
243.028	0.717495
