# Tdn_K_93G	Rdn_Ohm_93G	'Rdn/R5k_Ohm_93G'
293.202	0.57261 	1.38791
293.096	0.572162	1.38682
292.988	0.572074	1.38661
292.883	0.571924	1.38625
292.779	0.571797	1.38594
292.673	0.571439	1.38507
292.563	0.571267	1.38465
292.458	0.57109	        1.38423
292.35	0.570763	1.38343
292.24	0.570471	1.38273
292.132	0.570335	1.3824
292.026	0.569951	1.38146
291.919	0.569608	1.38063
291.808	0.569576	1.38056
291.703	0.569311	1.37991
291.596	0.569202	1.37965
291.489	0.568958	1.37906
291.382	0.568599	1.37819
291.272	0.568452	1.37783
291.167	0.568187	1.37719
291.058	0.567974	1.37667
290.95	0.567704	1.37602
290.844	0.567343	1.37514
290.736	0.567075	1.37449
290.627	0.566991	1.37429
290.522	0.566934	1.37415
290.409	0.566475	1.37304
290.305	0.566309	1.37264
290.195	0.565945	1.37176
290.086	0.566022	1.37194
289.979	0.565758	1.3713
289.873	0.565664	1.37107
289.764	0.56504	        1.36956
289.656	0.564877	1.36917
289.551	0.564675	1.36868
289.442	0.564452	1.36814
289.335	0.564144	1.36739
289.23	0.563973	1.36698
289.123	0.563697	1.36631
289.013	0.563547	1.36594
288.907	0.563032	1.36469
288.796	0.563068	1.36478
288.693	0.562828	1.3642
288.587	0.562668	1.36381
288.476	0.562474	1.36334
288.365	0.562204	1.36269
288.255	0.562094	1.36242
288.151	0.561944	1.36206
288.043	0.561673	1.3614
287.929	0.561439	1.36083
287.825	0.561024	1.35983
287.718	0.560743	1.35915
287.61	0.560513	1.35859
287.5	0.560176	1.35777
287.395	0.560393	1.3583
287.288	0.560008	1.35736
287.183	0.559582	1.35633
287.072	0.55953   	1.35621
286.965	0.559608	1.35639
286.858	0.558886	1.35465
286.752	0.558916	1.35472
286.645	0.558828	1.35451
286.541	0.558485	1.35367
286.433	0.558345	1.35333
286.328	0.557986	1.35246
286.219	0.55772 	1.35182
286.114	0.557596	1.35152
286.007	0.557387	1.35101
285.899	0.557164	1.35047
285.789	0.556757	1.34949
285.683	0.556743	1.34945
285.575	0.556399	1.34862
285.467	0.556098	1.34789
285.361	0.556087	1.34786
285.25	0.555894	1.34739
285.147	0.555708	1.34694
285.038	0.555427	1.34626
284.929	0.555385	1.34616
284.825	0.555286	1.34592
284.716	0.554657	1.3444
284.603	0.554574	1.34419
284.495	0.554595	1.34424
284.387	0.554381	1.34373
284.278	0.553793	1.3423
284.167	0.553731	1.34215
284.062	0.553321	1.34116
283.952	0.552972	1.34031
283.848	0.552977	1.34032
283.741	0.552848	1.34001
283.633	0.552816	1.33993
283.523	0.552369	1.33885
283.421	0.552234	1.33852
283.312	0.551932	1.33779
283.202	0.551833	1.33755
283.091	0.551766	1.33739
282.983	0.551593	1.33697
282.881	0.551318	1.3363
282.776	0.55125	        1.33614
282.67	0.550876	1.33523
282.563	0.550554	1.33445
282.456	0.55048	        1.33427
282.348	0.5502	        1.33359
282.24	0.549987	1.33308
282.133	0.550153	1.33348
282.025	0.54942	        1.3317
281.916	0.549399	1.33165
281.812	0.549202	1.33117
281.707	0.548956	1.33058
281.6	0.548582	1.32967
281.491	0.548858	1.33034
281.387	0.548541	1.32957
281.277	0.548458	1.32937
281.17	0.548047	1.32837
281.065	0.548005	1.32827
280.955	0.547871	1.32795
280.844	0.547308	1.32658
280.74	0.54722	        1.32637
280.629	0.547189	1.32629
280.524	0.546804	1.32536
280.415	0.546628	1.32493
280.309	0.54657	        1.32479
280.202	0.546165	1.32381
280.094	0.546175	1.32384
279.99	0.54579  	1.3229
279.884	0.545265	1.32163
279.774	0.545499	1.3222
279.67	0.545432	1.32204
279.563	0.544995	1.32098
279.459	0.544755	1.32039
279.35	0.544532	1.31985
279.244	0.544632	1.32009
279.135	0.544105	1.31882
279.031	0.544392	1.31951
278.921	0.544163	1.31896
278.813	0.543773	1.31801
278.711	0.543581	1.31755
278.602	0.543564	1.31751
278.495	0.543461	1.31726
278.392	0.542972	1.31607
278.281	0.542916	1.31594
278.176	0.542806	1.31567
278.067	0.542514	1.31496
277.962	0.54254	        1.31503
277.857	0.542374	1.31462
277.75	0.541864	1.31339
277.637	0.541433	1.31234
277.534	0.541658	1.31289
277.424	0.541376	1.3122
277.318	0.540944	1.31116
277.211	0.541033	1.31137
277.107	0.540758	1.31071
276.996	0.54072	        1.31061
276.89	0.540445	1.30995
276.781	0.5403   	1.30959
276.67	0.540066	1.30903
276.563	0.540009	1.30889
276.454	0.539868	1.30855
276.351	0.539546	1.30777
276.243	0.53925 	1.30705
276.132	0.539119	1.30673
276.027	0.538906	1.30622
275.924	0.538979	1.3064
275.818	0.538609	1.3055
275.711	0.538349	1.30487
275.606	0.538146	1.30438
275.497	0.538293	1.30473
275.39	0.537934	1.30386
275.284	0.537829	1.30361
275.177	0.537803	1.30354
275.068	0.537139	1.30193
274.964	0.537222	1.30213
274.858	0.537233	1.30216
274.751	0.536696	1.30086
274.644	0.536952	1.30148
274.537	0.536468	1.30031
274.43	0.536332	1.29998
274.322	0.536227	1.29972
274.216	0.535704	1.29846
274.111	0.535563	1.29812
274.005	0.535745	1.29856
273.895	0.535511	1.29799
273.793	0.535246	1.29735
273.685	0.535131	1.29707
273.575	0.535012	1.29678
273.464	0.534783	1.29622
273.36	0.534872	1.29644
273.252	0.53445 	1.29542
273.144	0.534398	1.29529
273.038	0.534175	1.29475
272.927	0.533717	1.29364
272.82	0.533759	1.29374
272.712	0.533587	1.29332
272.603	0.533265	1.29254
272.5	0.533337	1.29272
